  THREADS     L     V     W+1   TIME(us)   MEMORY(GB)  STORAGE(MB) CORRECT
  THREADS     L     V     W   TIME(us)   MEMORY(GB)  STORAGE(MB) CORRECT
       16    37    10    27        391        1.000      787.286     yes
        8    37    10    27        417        1.000      787.286     yes
        4    37    10    27        463        1.000      787.286     yes
        2    37    10    27        566        1.000      787.286     yes
        1    37    10    27        869        1.000      787.286     yes
       16    37     9    28        227        2.000     1574.443     yes
        8    37     9    28        255        2.000     1574.443     yes
        4    37     9    28        274        2.000     1574.443     yes
        2    37     9    28        534        2.000     1574.443     yes
        1    37     9    28        522        2.000     1574.443     yes
       16    37     8    29        212        3.900     3148.822     yes
        8    37     8    29        250        3.900     3148.822     yes
        4    37     8    29        198        3.900     3148.822     yes
        2    37     8    29        230        3.900     3148.822     yes
        1    37     8    29        330        3.900     3148.822     yes
       16    37     7    30        211        7.800     6297.611     yes
        8    37     7    30        148        7.800     6297.611     yes
        4    37     7    30        143        7.800     6297.611     yes
        2    37     7    30        170        7.800     6297.611     yes
        1    37     7    30        213        7.800     6297.611     yes
       16    37     6    31        166       15.600    12595.205     yes
        8    37     6    31        131       15.600    12595.205     yes
        4    37     6    31        135       15.600    12595.205     yes
        2    37     6    31        141       15.600    12595.205     yes
        1    37     6    31        148       15.600    12595.205     yes
       16    38    11    27        765        1.000      787.372     yes
        8    38    11    27        611        1.000      787.372     yes
        4    38    11    27        744        1.000      787.372     yes
        2    38    11    27        964        1.000      787.372     yes
        1    38    11    27       1799        1.000      787.372     yes
       16    38    10    28        357        2.000     1574.486     yes
        8    38    10    28        355        2.000     1574.486     yes
        4    38    10    28        434        2.000     1574.486     yes
        2    38    10    28        561        2.000     1574.486     yes
        1    38    10    28        867        2.000     1574.486     yes
       16    38     9    29        258        3.900     3148.843     yes
        8    38     9    29        261        3.900     3148.843     yes
        4    38     9    29        325        3.900     3148.843     yes
        2    38     9    29        330        3.900     3148.843     yes
        1    38     9    29        492        3.900     3148.843     yes
       16    38     8    30        184        7.800     6297.622     yes
        8    38     8    30        190        7.800     6297.622     yes
        4    38     8    30        199        7.800     6297.622     yes
        2    38     8    30        216        7.800     6297.622     yes
        1    38     8    30        294        7.800     6297.622     yes
       16    38     7    31        153       15.600    12595.211     yes
        8    38     7    31        149       15.600    12595.211     yes
        4    38     7    31        181       15.600    12595.211     yes
        2    38     7    31        191       15.600    12595.211     yes
        1    38     7    31        204       15.600    12595.211     yes
       16    39    12    27       1373        1.000      787.544     yes
        8    39    12    27       1071        1.000      787.544     yes
        4    39    12    27       1404        1.000      787.544     yes
        2    39    12    27       1936        1.000      787.544     yes
        1    39    12    27       3225        1.000      787.544     yes
       16    39    11    28        771        2.000     1574.572     yes
        8    39    11    28        661        2.000     1574.572     yes
        4    39    11    28        729        2.000     1574.572     yes
        2    39    11    28       1144        2.000     1574.572     yes
        1    39    11    28       1677        2.000     1574.572     yes
       16    39    10    29        485        3.900     3148.886     yes
        8    39    10    29        517        3.900     3148.886     yes
        4    39    10    29        514        3.900     3148.886     yes
        2    39    10    29        585        3.900     3148.886     yes
        1    39    10    29        918        3.900     3148.886     yes
       16    39     9    30        239        7.800     6297.643     yes
        8    39     9    30        258        7.800     6297.643     yes
        4    39     9    30        285        7.800     6297.643     yes
        2    39     9    30        347        7.800     6297.643     yes
        1    39     9    30        509        7.800     6297.643     yes
       16    39     8    31        196       15.600    12595.222     yes
        8    39     8    31        177       15.600    12595.222     yes
        4    39     8    31        200       15.600    12595.222     yes
        2    39     8    31        258       15.600    12595.222     yes
        1    39     8    31        306       15.600    12595.222     yes
       16    40    13    27       2036        1.000      787.888     yes
        8    40    13    27       2207        1.000      787.888     yes
        4    40    13    27       2730        1.000      787.888     yes
        2    40    13    27       3635        1.000      787.888     yes
        1    40    13    27       6153        1.000      787.888     yes
       16    40    12    28       1426        2.000     1574.744     yes
        8    40    12    28       1200        2.000     1574.744     yes
        4    40    12    28       1550        2.000     1574.744     yes
        2    40    12    28       1936        2.000     1574.744     yes
        1    40    12    28       3148        2.000     1574.744     yes
       16    40    11    29        568        3.900     3148.972     yes
        8    40    11    29        669        3.900     3148.972     yes
        4    40    11    29        717        3.900     3148.972     yes
        2    40    11    29       1022        3.900     3148.972     yes
        1    40    11    29       1565        3.900     3148.972     yes
       16    40    10    30        357        7.800     6297.686     yes
        8    40    10    30        526        7.800     6297.686     yes
        4    40    10    30        485        7.800     6297.686     yes
        2    40    10    30        594        7.800     6297.686     yes
        1    40    10    30        889        7.800     6297.686     yes
       16    40     9    31        344       15.600    12595.243     yes
        8    40     9    31        277       15.600    12595.243     yes
        4    40     9    31        288       15.600    12595.243     yes
        2    40     9    31        355       15.600    12595.243     yes
        1    40     9    31        572       15.600    12595.243     yes
       16    41    14    27       4954        1.000      788.575     yes
        8    41    14    27       4953        1.000      788.575     yes
        4    41    14    27       5635        1.000      788.575     yes
        2    41    14    27       7645        1.000      788.575     yes
        1    41    14    27      12587        1.000      788.575     yes
       16    41    13    28       2295        2.000     1575.088     yes
        8    41    13    28       2528        2.000     1575.088     yes
        4    41    13    28       2618        2.000     1575.088     yes
        2    41    13    28       4406        2.000     1575.088     yes
        1    41    13    28       6437        2.000     1575.088     yes
       16    41    12    29       1116        3.900     3149.144     yes
        8    41    12    29       1195        3.900     3149.144     yes
        4    41    12    29       1464        3.900     3149.144     yes
        2    41    12    29       2120        3.900     3149.144     yes
        1    41    12    29       3622        3.900     3149.144     yes
       16    41    11    30        626        7.800     6297.772     yes
        8    41    11    30        701        7.800     6297.772     yes
        4    41    11    30        900        7.800     6297.772     yes
        2    41    11    30       1163        7.800     6297.772     yes
        1    41    11    30       2013        7.800     6297.772     yes
       16    41    10    31        396       15.600    12595.286     yes
        8    41    10    31        405       15.600    12595.286     yes
        4    41    10    31        550       15.600    12595.286     yes
        2    41    10    31        631       15.600    12595.286     yes
        1    41    10    31       1029       15.600    12595.286     yes
       16    42    15    27       9263        1.000      789.950     yes
        8    42    15    27       9541        1.000      789.950     yes
        4    42    15    27      11053        1.000      789.950     yes
        2    42    15    27      15375        1.000      789.950     yes
        1    42    15    27      24796        1.000      789.950     yes
       16    42    14    28       6646        2.000     1575.775     yes
        8    42    14    28       4951        2.000     1575.775     yes
        4    42    14    28       5983        2.000     1575.775     yes
        2    42    14    28       7979        2.000     1575.775     yes
